EECodDane;EENombre;EESedeID;EECodDaneSede;EENomSede;EEDirSede;EEZona; EEMatricula 
219022001207;I.E. LA HERRADURA;80277;219022001207;LA HERRADURA (sede principal);VDA. LA HERRADURA;RURAL; 331 
219022001193;INSTITUCION EDUCATIVA EL TABLON;72542;219022001193;EL TABLON (sede principal);CORREGIMIENTO EL TABLON;RURAL; 412 
219022001185;INSTITUCION EDUCATIVA LLACUANAS;80251;219022001185;LLACUANAS (sede principal);CORREGIMIENTO LLACUANAS;RURAL; 169 
119022001172;INSTITUCION EDUCATIVA SAN LUIS;80293;119022001172;SAN LUIS (sede principal);BARRIO LA PORTADA;URBANA; 200 
119022000486;I.E. NORMAL SUPERIOR SANTA CLARA;80246;119022000486;NORMAL NACIONAL SANTA CLARA - SEDE PRINCIPAL;KR 3 5 53;URBANA; 1.195 
219050000691;I.E. SINAI;77109;219050000691;SINAI (sede principal);CORREGIMIENTO  SINAI;RURAL; 665 
219050000488;I.E. PUERTO RICO;77103;219050000488;PUERTO RICO (sede principal);VDA. PUERTO RICO;RURAL; 367 
219050000135;I.E. LA BELLEZA;77083;219050000135;LA BELLEZA (SEDE PRINCIPAL);CORREGIMIENTO LA BELLEZA;RURAL; 312 
219050000097;I.E.T. MIGUEL ZAPATA (ANTES I.E. MIGUEL ZAPATA;77074;219050000097;MIGUEL ZAPATA (SEDE PRINCIPAL);CORREGIMIENTO EL PLATEADO;RURAL; 1.474 
219050000038;I.E. MARCO FIDEL NARVAEZ;77063;219050000038;MARCO FIDEL NARVAEZ (sede principal);CORREGIMIENTO EL MANGO;RURAL; 716 
119050000637;I.E. AGRICOLA DE ARGELIA;77116;119050000637;ARGELIA (Sede Principal);BARRIO EL RECREO;URBANA; 601 
219075000636;I.E. AGRICOLA SAN ALFONSO;77575;219075000636;SAN ALFONSO (sede principal);CORREGIMIENTO SAN ALFONSO;RURAL; 200 
219075000296;I.E. LA PLANADA;77563;219075000296;LA PLANADA (sede principal);CORREGIMIENTO LA PLANADA;RURAL; 222 
219075000041;I.E. OLAYA (ANTES C.E. OLAYA);77333;219075000041;OLAYA (sede principal);CORREGIMIENTO OLAYA;RURAL; 399 
119075000020;I.E. VASCO NUÑEZ DE BALBOA;77329;119075000020;VASCO NUÑEZ DE BALBOA (sede principal);VDA. EL CRUCERITO;RURAL; 860 
419100002826;INSTITUCION EDUCATIVA AGROPECUARIO NUESTRA SENORA DEL CARMEN;77825;419100002826;NUESTRA SENORA DEL CARMEN (sede principal);CORREGIMIENTO GUACHICONO;RURAL; 935 
219100002932;INST EDUC AGROP JOSE DOLORES DAZA;77824;219100002932;JOSE DOLORES DAZA (sede principal);INSPECCION DE POLICIA LOS MILAGROS;RURAL; 473 
219100002789;INSTITUCION EDUCATIVA AGRICOLA ALEJANDRO GOMEZ;77815;219100002789;ALEJANDRO GOMEZ MUNOZ (sede principal);CORREGIMIENTO LERMA;RURAL; 271 
219100002584;INSTITUCION EDUCATIVA SAN JOSE DEL MORRO;77811;219100002584;SAN JOSE DEL MORRO (sede principal);VEREDA EL MORRO;RURAL; 140 
219100001821;INST EDUC ANDINO SAN LORENZO;77793;219100001821;ANDINO (sede principal);CORREGIMIENTO SAN LORENZO;RURAL; 370 
219100001103;INST EDUC EL RODEO;77782;219100001103;EL RODEO (sede principal);CORREGIMIENTO EL RODEO;RURAL; 195 
219100000948;INST EDUC LA CARBONERA;78222;219100000948;LA CARBONERA (sede principal);VEREDA LA CARBONERA;RURAL; 204 
219100000654;INST EDUC SAN FERNANDO DE MELCHOR;78045;219100000654;SAN FERNANDO DE MELCHOR (sede principal);CORREGIMIENTO MELCHOR;RURAL; 167 
219100000433;INST EDUC EL CARMEN;78017;219100000433;EL CARMEN (sede principal);INSPECCION EL CARMEN;RURAL; 125 
119100003047;I.E. SANTA CATALINA DE LABOURE;77579;119100003047;SANTA CATALINA LABUORE (sede principal);CARRERA 3 # 8-46 BARRIO CENTRO;URBANA; 2.746 
119100002474;INST EDUC TEC DOMINGO BELISARIO GOMEZ;77580;119100002474;DOMINGO BELISARIO GOMEZ (sede principal);CARRERA 3 #11-10;URBANA; 498 
